lag,Gamma
0,1.0
1,0.8293278127675411
2,0.7285544335601489
3,0.6588338792222233
4,0.6048700939595016
5,0.5624589298118745
6,0.5272905383516152
7,0.4963563486152891
8,0.46938594437408077
9,0.4467774248727986
10,0.42657978476372205
11,0.41026397884088345
12,0.3965558220993646
13,0.3825328754385712
14,0.36941473449256695
15,0.3567588885197212
16,0.3457218488566988
17,0.33641816163095617
18,0.3282364033869609
19,0.3188057445199907
20,0.31128283117942884
21,0.3036101619693701
22,0.2967611940194044
23,0.2897794937267322
24,0.2816325375986483
25,0.27476960453587945
26,0.2657918982888223
27,0.2563636142508838
28,0.24717739175690515
29,0.24083887119457137
30,0.23619162285809878
31,0.22957668569343337
32,0.22422265468118452
33,0.21990127858293593
34,0.21514905396617987
35,0.20841935951197663
36,0.20122466578253684
37,0.1929060232196735
38,0.18557488841234188
39,0.17899631629370147
40,0.17420634852723071
41,0.1702040133307663
42,0.1641493234295356
43,0.1603983228446475
44,0.15710503470088413
45,0.15261265258847295
46,0.14930343914836053
47,0.1462159722914614
48,0.14464897466940702
49,0.14342074563933221
50,0.1424130070539764
51,0.13993931221422562
52,0.13445470258629763
53,0.13181803881096454
54,0.1310211520672006
55,0.12718922721286768
56,0.12489009010112559
57,0.12297982437638592
58,0.1200729930045742
59,0.11641200238076548
60,0.11268698694538541
61,0.11012950957459373
62,0.10828370442654955
63,0.10644711568720149
64,0.106600247964601
65,0.10285587112775768
66,0.09819060734036306
67,0.09371554154757966
68,0.08946527513661269
69,0.08528610301279381
70,0.08085265018535635
71,0.07876890436172912
72,0.07672939105292023
73,0.07460716196705706
74,0.07372021199120853
75,0.07101631700678722
76,0.06921938404397353
77,0.06740711834214082
78,0.06700673831253458
79,0.06425059815198858
80,0.06178855721931605
81,0.061909868457769364
82,0.061326406543147235
83,0.059279925486320696
84,0.05935055519185348
85,0.05665873675510652
86,0.05514416767421781
87,0.053060483342473166
88,0.05100482843842597
89,0.04870272887471307
90,0.04708947976588229
91,0.043435352598718766
92,0.04162578789659458
93,0.04119007027010712
94,0.04073236122389948
95,0.04102916382409557
96,0.03961127063895895
97,0.03903591417377396
98,0.038262807843555416
99,0.03685336741147366
100,0.03448444195827657
101,0.03397874681693279
102,0.032255841257814284
103,0.03085405137966408
104,0.028564966456783525
105,0.025253498962688782
106,0.02454323668908266
107,0.021482700707419866
108,0.018403518875900606
109,0.015648064592976896
110,0.013546003897316614
111,0.01323056546763271
112,0.012848545790781254
113,0.010978877161225161
114,0.008456928483983234
115,0.00832587664359386
116,0.007630721571405986
117,0.007571849262907046
118,0.006823208813462503
119,0.00730792734243376
120,0.007445932405639887
121,0.006713415277864426
122,0.005834626552903139
