E,H,sigma_H_block,sigma_H_poisson,sigma_H_predicted,ratio_block_over_poisson
-141,1,1.0,1.0,6.372642119366807,1.0
-137,0,0.0,0.0,0.0,
-133,2,1.3662601021279464,1.4142135623730951,9.012276913358564,0.9660917830792958
-129,1,1.0,1.0,6.372642119366807,1.0
-125,11,3.1728010758108782,3.3166247903554,21.135662833154928,0.9566355184455129
-121,7,3.255764119219941,2.6457513110645907,16.86042624226016,1.230563169563316
-117,44,6.772493386240157,6.6332495807108,42.271325666309856,1.0209917935146406
-113,28,4.732863826479693,5.291502622129181,33.72085248452032,0.8944271909999159
-109,48,4.844240566555986,6.928203230275509,44.15095971678688,0.699205898780101
-105,59,9.657466886646139,7.681145747868608,48.949192917862746,1.2572950968058285
-101,118,15.31012736720371,10.862780491200215,69.22461249165855,1.4094114651038219
-97,122,18.0,11.045361017187261,70.38813284173973,1.6296434287653334
-93,207,15.964544048192128,14.38749456993816,91.68635388854914,1.109612515965714
-89,275,21.37755832643195,16.583123951777,105.67831416577465,1.2891152709584126
-85,377,21.90738079582617,19.4164878389476,123.73432821265087,1.1282875140725543
-81,438,30.177254127350068,20.92844953645635,133.36951900906445,1.4419249775184133
-77,513,25.48594383838537,22.64950330581225,144.33717874935687,1.1252319088094636
-73,665,26.370437994087244,25.787593916455254,164.33510714912998,1.022601723895616
-69,833,38.26835071788,28.861739379323623,183.92553600686531,1.325919765781518
-65,925,36.69604883362785,30.4138126514911,193.81634351342325,1.206558653271271
-61,1035,50.61159287488721,32.17141588429082,205.01691990389804,1.5731851236177843
-57,1175,44.08401070683111,34.27827300200522,218.44316631173257,1.2860627693890023
-53,1400,57.52216963919216,37.416573867739416,238.4424345919556,1.5373446495267646
-49,1469,66.40833281047392,38.3275357934736,244.24766892902878,1.732653337493769
-45,1597,50.68530358989675,39.96248240537617,254.66659857095513,1.2683221997009382
-41,1722,57.4827510359992,41.49698784249286,264.4454525519223,1.3852270736898389
-37,1916,54.50382249591919,43.77213725647858,278.9441655353404,1.245171607147244
-33,2021,63.761534904151524,44.955533585978046,286.4855268286128,1.4183245046398294
-29,2139,62.91952532137116,46.24932431938871,294.7303921499921,1.3604420442309888
-25,2171,72.54194189111105,46.593991028886975,296.9268297400843,1.5568947902775074
-21,2167,61.55268745825265,46.551047249229526,296.65316440107443,1.3222621422178944
-17,2221,59.44128755895743,47.12748667179272,300.3266065445641,1.2612870270999388
-13,2288,56.1331749799825,47.83304297240559,304.82286434343433,1.1735229768335076
-9,2299,57.36840012875846,47.94788837894741,305.5547330183785,1.1964739651381047
-5,2302,75.92101158440923,47.97916214358062,305.7540295281113,1.582374685018694
-1,2196,42.5205832509386,46.861498055439924,298.6315562847222,0.9073671353961889
3,0,0.0,0.0,0.0,
7,0,0.0,0.0,0.0,
11,0,0.0,0.0,0.0,
15,0,0.0,0.0,0.0,
19,0,0.0,0.0,0.0,
23,0,0.0,0.0,0.0,
27,0,0.0,0.0,0.0,
31,0,0.0,0.0,0.0,
35,0,0.0,0.0,0.0,
39,0,0.0,0.0,0.0,
43,0,0.0,0.0,0.0,
47,0,0.0,0.0,0.0,
51,0,0.0,0.0,0.0,
55,0,0.0,0.0,0.0,
59,0,0.0,0.0,0.0,
63,0,0.0,0.0,0.0,
67,0,0.0,0.0,0.0,
71,0,0.0,0.0,0.0,
75,0,0.0,0.0,0.0,
79,0,0.0,0.0,0.0,
83,0,0.0,0.0,0.0,
87,0,0.0,0.0,0.0,
91,0,0.0,0.0,0.0,
95,0,0.0,0.0,0.0,
99,0,0.0,0.0,0.0,
103,0,0.0,0.0,0.0,
107,0,0.0,0.0,0.0,
111,0,0.0,0.0,0.0,
115,0,0.0,0.0,0.0,
119,0,0.0,0.0,0.0,
123,0,0.0,0.0,0.0,
127,0,0.0,0.0,0.0,
131,0,0.0,0.0,0.0,
135,0,0.0,0.0,0.0,
139,0,0.0,0.0,0.0,
143,0,0.0,0.0,0.0,
147,0,0.0,0.0,0.0,
151,0,0.0,0.0,0.0,
155,0,0.0,0.0,0.0,
159,0,0.0,0.0,0.0,
163,0,0.0,0.0,0.0,
167,0,0.0,0.0,0.0,
171,0,0.0,0.0,0.0,
