beta,energy_wham
0.34,-229.3794709879162
0.3418987341772152,-231.0999049466091
0.3437974683544304,-232.8523128412211
0.34569620253164557,-234.63829193414378
0.34759493670886077,-236.45966557870923
0.34949367088607597,-238.31847567827808
0.35139240506329117,-240.21697052318314
0.35329113924050637,-242.15758771795348
0.3551898734177215,-244.14293192490263
0.3570886075949367,-246.17574717749966
0.3589873417721519,-248.2588835650221
0.3608860759493671,-250.39525816637357
0.3627848101265823,-252.58781022293581
0.36468354430379746,-254.83945069426773
0.36658227848101266,-257.15300654056324
0.36848101265822786,-259.53116032304024
0.37037974683544306,-261.97638600427723
0.37227848101265826,-264.49088215561414
0.37417721518987346,-267.07650412209
0.3760759493670886,-269.73469703383313
0.3779746835443038,-272.46643185651754
0.379873417721519,-275.2721469072953
0.3817721518987342,-278.15169738892723
0.3836708860759494,-281.10431547748306
0.38556962025316455,-284.12858330841163
0.38746835443037975,-287.22242082446456
0.38936708860759495,-290.3830898767129
0.39126582278481015,-293.60721522776396
0.39316455696202535,-296.89082223798664
0.39506329113924055,-300.2293900858331
0.3969620253164557,-303.61791846256233
0.3988607594936709,-307.0510048771741
0.4007594936708861,-310.52292909249576
0.4026582278481013,-314.02774085589635
0.40455696202531644,-317.5593470299077
0.40645569620253164,-321.11159447823906
0.40835443037974684,-324.6783455952544
0.41025316455696204,-328.2535441239102
0.41215189873417724,-331.83126980597785
0.41405063291139244,-335.4057813536216
0.4159493670886076,-338.9715481271092
0.4178481012658228,-342.5232716653249
0.419746835443038,-346.0558987808025
0.4216455696202532,-349.5646282633977
0.4235443037974683,-353.04491332954655
0.4254430379746835,-356.4924618271533
0.4273417721518987,-359.90323590072893
0.4292405063291139,-363.2734523927014
0.4311392405063291,-366.59958476610365
0.4330379746835443,-369.87836684064996
0.4349367088607595,-373.1067981899744
0.43683544303797467,-376.28215069139566
0.43873417721518987,-379.4019754748038
0.44063291139240507,-382.4641093927029
0.44253164556962027,-385.4666801237986
0.4444303797468354,-388.40810911147
0.4463291139240506,-391.28711170228826
0.4482278481012658,-394.102694061009
0.450126582278481,-396.85414666971207
0.4520253164556962,-399.541034445186
0.4539240506329114,-402.1631837104268
0.45582278481012656,-404.7206664191552
0.45772151898734176,-407.2137821487927
0.45962025316455696,-409.6430384451594
0.46151898734177216,-412.00913012390174
0.4634177215189873,-414.3129181153297
0.4653164556962025,-416.5554083891887
0.4672151898734177,-418.73773142305663
0.4691139240506329,-420.8611225916362
0.4710126582278481,-422.92690376242075
0.4729113924050633,-424.93646629297217
0.4748101265822785,-426.8912555416356
0.47670886075949365,-428.79275693061896
0.47860759493670885,-430.64248354011227
0.48050632911392405,-432.441965165334
0.4824050632911392,-434.1927387348305
0.4843037974683544,-435.8963399670139
0.4862025316455696,-437.5542961312237
0.4881012658227848,-439.16811977776877
0.49,-440.73930330647187
